Run	Choice	Total	Excluded	To_process	Other
ERR10101904	partial_excluded	2	0	1	1
ERR10101905	partial_excluded	2	0	1	1
ERR10101906	partial_excluded	2	0	1	1
ERR10101907	partial_excluded	2	0	1	1
ERR10101908	partial_excluded	2	0	1	1
ERR10101909	partial_excluded	2	0	1	1
ERR10101910	partial_excluded	2	0	1	1
ERR10101911	partial_excluded	2	0	1	1
ERR10101912	partial_excluded	2	0	1	1
ERR10101913	partial_excluded	2	0	1	1
ERR10101914	partial_excluded	2	0	1	1
ERR10101915	partial_excluded	2	0	1	1
ERR10101916	partial_excluded	2	0	1	1
ERR10101917	partial_excluded	2	0	1	1
ERR10101918	partial_excluded	2	0	1	1
ERR10101919	partial_excluded	2	0	1	1
ERR10101920	partial_excluded	2	0	1	1
ERR10101921	partial_excluded	2	0	1	1
ERR10101922	partial_excluded	2	0	1	1
ERR10101923	partial_excluded	2	0	1	1
ERR10101924	partial_excluded	2	0	1	1
ERR10101925	partial_excluded	2	0	1	1
ERR10107056	partial_excluded	2	0	1	1
ERR10107057	partial_excluded	2	0	1	1
ERR10107058	partial_excluded	2	0	1	1
ERR10107059	partial_excluded	2	0	1	1
ERR10107060	partial_excluded	2	0	1	1
ERR10107061	partial_excluded	2	0	1	1
ERR1017172	full_excluded	1	1	0	0
ERR1017173	full_excluded	1	1	0	0
ERR1018218	partial_excluded	2	0	1	1
ERR10215131	partial_excluded	2	0	1	1
ERR10215132	partial_excluded	2	0	1	1
ERR10215133	partial_excluded	2	0	1	1
ERR10215134	partial_excluded	2	0	1	1
ERR10215135	partial_excluded	2	0	1	1
ERR10215136	partial_excluded	2	0	1	1
ERR10215137	partial_excluded	2	0	1	1
ERR10222451	partial_excluded	2	0	1	1
ERR10222452	partial_excluded	2	0	1	1
ERR10222453	partial_excluded	2	0	1	1
ERR10222454	partial_excluded	2	0	1	1
ERR10222455	partial_excluded	2	0	1	1
ERR10228823	partial_excluded	2	0	1	1
ERR10228824	partial_excluded	2	0	1	1
ERR10228825	partial_excluded	2	0	1	1
ERR10228826	partial_excluded	2	0	1	1
ERR10228827	partial_excluded	2	0	1	1
ERR10228828	partial_excluded	2	0	1	1
ERR10228829	partial_excluded	2	0	1	1
ERR10228830	partial_excluded	2	0	1	1
ERR10228831	partial_excluded	2	0	1	1
ERR10228832	partial_excluded	2	0	1	1
ERR10228833	partial_excluded	2	0	1	1
ERR10228834	partial_excluded	2	0	1	1
ERR10228835	partial_excluded	2	0	1	1
ERR10228836	partial_excluded	2	0	1	1
ERR10228837	partial_excluded	2	0	1	1
ERR10228838	partial_excluded	2	0	1	1
ERR10228839	partial_excluded	2	0	1	1
ERR10228840	partial_excluded	2	0	1	1
ERR10228841	partial_excluded	2	0	1	1
ERR10228842	partial_excluded	2	0	1	1
ERR10228843	partial_excluded	2	0	1	1
ERR10228844	partial_excluded	2	0	1	1
ERR10228845	partial_excluded	2	0	1	1
ERR10228846	partial_excluded	2	0	1	1
ERR10228847	partial_excluded	2	0	1	1
ERR10228848	partial_excluded	2	0	1	1
ERR10228849	partial_excluded	2	0	1	1
ERR10228850	partial_excluded	2	0	1	1
ERR10228851	partial_excluded	2	0	1	1
ERR10228852	partial_excluded	2	0	1	1
ERR10228853	partial_excluded	2	0	1	1
ERR10228854	partial_excluded	2	0	1	1
ERR10228855	partial_excluded	2	0	1	1
ERR10228856	partial_excluded	2	0	1	1
ERR10228857	partial_excluded	2	0	1	1
ERR10228858	partial_excluded	2	0	1	1
ERR10228859	partial_excluded	2	0	1	1
ERR10228860	partial_excluded	2	0	1	1
ERR10228861	partial_excluded	2	0	1	1
ERR10228862	partial_excluded	2	0	1	1
ERR10228863	partial_excluded	2	0	1	1
ERR10228864	partial_excluded	2	0	1	1
ERR1025320	partial_excluded	3	0	2	1
ERR10298247	partial_excluded	2	0	1	1
ERR10298248	partial_excluded	2	0	1	1
ERR10298249	partial_excluded	2	0	1	1
ERR10298250	partial_excluded	2	0	1	1
ERR10298251	partial_excluded	2	0	1	1
ERR10298252	partial_excluded	2	0	1	1
ERR10298253	partial_excluded	2	0	1	1
ERR10298254	partial_excluded	2	0	1	1
ERR10298255	partial_excluded	2	0	1	1
ERR10298256	partial_excluded	2	0	1	1
ERR10298257	partial_excluded	2	0	1	1
ERR10298258	partial_excluded	2	0	1	1
ERR10298259	partial_excluded	2	0	1	1
ERR10298260	partial_excluded	2	0	1	1
ERR10298261	partial_excluded	2	0	1	1
ERR10298310	partial_excluded	2	0	1	1
ERR10298311	partial_excluded	2	0	1	1
ERR10298312	partial_excluded	2	0	1	1
ERR10298313	partial_excluded	2	0	1	1
ERR10298314	partial_excluded	2	0	1	1
ERR10298315	partial_excluded	2	0	1	1
ERR10298317	partial_excluded	2	0	1	1
ERR10298318	partial_excluded	2	0	1	1
ERR10298319	partial_excluded	2	0	1	1
ERR10298321	partial_excluded	2	0	1	1
ERR10298322	partial_excluded	2	0	1	1
ERR10298323	partial_excluded	2	0	1	1
ERR10298324	partial_excluded	2	0	1	1
ERR10298325	partial_excluded	2	0	1	1
